city	number of events
New York, NY	42594
San Francisco, CA	38313
Los Angeles, CA	24177
Austin, TX	23509
Las Vegas, NV	21323
Chicago, IL	19833
Seattle, WA	19255
Denver, CO	17384
San Diego, CA	17220
Atlanta, GA	16179
Portland, OR	14756
Washington, DC	14671
Boston, MA	11721
Columbus, OH	11538
Tampa, FL	10558
Houston, TX	10128
Longmont, CO	10021
Reston, VA	9657
Minneapolis, MN	9476
Boulder, CO	8946
Raleigh, NC	8680
Philadelphia, PA	8588
Dallas, TX	8563
Salt Lake City, UT	8467
Santa Monica, CA	8056
Irvine, CA	8010
San Jose, CA	7464
Durham, NC	7314
Charlotte, NC	7206
Phoenix, AZ	6896
Orlando, FL	6420
Miami, FL	6260
Mountain View, CA	5982
Saint Louis, MO	5848
Palo Alto, CA	5836
Nashville, TN	5504
Pittsburgh, PA	5240
Cincinnati, OH	5003
Indianapolis, IN	4967
Jacksonville, FL	4776
Detroit, MI	4774
Cambridge, MA	4612
Oakland, CA	4392
Memphis, TN	4255
Plano, TX	4203
Sacramento, CA	4195
Cleveland, OH	4118
Kansas City, MO	4094
Fort Lauderdale, FL	3962
Colorado Springs, CO	3734
Ann Arbor, MI	3729
Birmingham, AL	3661
Carrollton, TX	3584
Louisville, KY	3428
San Antonio, TX	3346
Santa Clara, CA	3317
Richardson, TX	3188
Oklahoma City, OK	3117
Albuquerque, NM	3078
Baltimore, MD	2901
Melbourne, FL	2839
Richmond, VA	2790
Arlington, VA	2770
Pasadena, CA	2746
Milwaukee, WI	2740
Bellevue, WA	2682
Fort Collins, CO	2632
Madison, WI	2575
Loveland, CO	2559
Grand Rapids, MI	2523
Wichita, KS	2472
Emeryville, CA	2285
Chattanooga, TN	2200
Tucson, AZ	2189
Eugene, OR	2140
Dayton, OH	1997
Omaha, NE	1992
New Orleans, LA	1982
Berkeley, CA	1939
Saint Petersburg, FL	1899
Brooklyn, NY	1890
Rochester, NY	1838
Buffalo, NY	1836
Livermore, CA	1809
Decatur, GA	1779
Marietta, GA	1701
Hartford, CT	1691
San Ramon, CA	1687
Upland, CA	1675
Akron, OH	1658
