date_month	free	cash	paypal	wepay
2002-09	1	0	0	0
2002-10	1	0	0	0
2002-11	4	0	0	0
2002-12	4	0	0	0
2003-01	5	0	0	0
2003-02	8	0	0	0
2003-03	9	0	0	0
2003-04	7	0	0	0
2003-05	8	0	0	0
2003-06	10	0	0	0
2003-07	6	0	0	0
2003-08	12	0	0	0
2003-09	7	0	0	0
2003-10	9	0	0	0
2003-11	7	0	0	0
2003-12	6	0	0	0
2004-01	7	0	0	0
2004-02	10	0	0	0
2004-03	11	0	0	0
2004-04	11	0	0	0
2004-05	13	0	0	0
2004-06	9	0	0	0
2004-07	9	0	0	0
2004-08	9	0	0	0
2004-09	26	0	0	0
2004-10	42	0	0	0
2004-11	42	0	0	0
2004-12	41	0	0	0
2005-01	43	0	0	0
2005-02	41	0	0	0
2005-03	44	0	0	0
2005-04	46	0	0	0
2005-05	43	1	0	0
2005-06	33	3	0	0
2005-07	36	3	0	0
2005-08	34	1	0	0
2005-09	38	2	0	0
2005-10	44	1	0	0
2005-11	45	1	0	0
2005-12	44	2	0	0
2006-01	46	2	0	0
2006-02	48	2	0	0
2006-03	52	2	1	0
2006-04	60	1	3	0
2006-05	56	1	4	0
2006-06	60	1	5	0
2006-07	64	1	5	0
2006-08	72	1	4	0
2006-09	72	1	4	0
2006-10	80	1	4	0
2006-11	78	0	5	0
2006-12	74	1	4	0
2007-01	86	1	5	0
2007-02	97	0	6	0
2007-03	96	2	6	0
2007-04	105	4	11	0
2007-05	113	2	16	0
2007-06	118	1	9	0
2007-07	120	3	5	0
2007-08	140	2	9	0
2007-09	129	4	6	0
2007-10	139	4	12	0
2007-11	145	6	5	0
2007-12	127	7	5	0
2008-01	139	3	9	0
2008-02	146	7	6	0
2008-03	160	8	6	0
2008-04	182	10	6	0
2008-05	188	11	9	0
2008-06	190	9	12	0
2008-07	196	17	2	0
2008-08	200	12	2	0
2008-09	220	13	0	0
2008-10	240	20	1	0
2008-11	210	18	1	0
2008-12	212	19	3	0
2009-01	266	22	6	0
2009-02	306	18	6	0
2009-03	314	21	8	0
2009-04	315	25	9	0
2009-05	334	27	11	0
2009-06	364	23	6	0
2009-07	348	27	8	0
2009-08	331	19	9	0
2009-09	396	30	11	0
2009-10	426	28	11	0
2009-11	376	35	6	0
2009-12	354	21	11	0
2010-01	415	27	15	0
2010-02	435	36	13	0
2010-03	501	34	25	0
2010-04	512	27	27	0
2010-05	530	28	25	0
2010-06	536	31	22	0
2010-07	582	29	29	0
2010-08	643	23	24	0
2010-09	704	46	38	0
2010-10	740	34	36	0
2010-11	711	37	39	0
2010-12	556	27	27	0
2011-01	752	44	31	0
2011-02	892	48	61	0
2011-03	962	53	45	0
2011-04	915	44	31	0
2011-05	961	46	30	0
2011-06	1027	39	25	0
2011-07	913	32	26	0
2011-08	938	41	28	0
2011-09	1103	44	32	0
2011-10	1191	40	35	0
2011-11	1155	48	37	0
2011-12	1008	29	29	0
2012-01	1216	43	47	0
2012-02	1414	74	46	0
2012-03	1487	61	60	0
2012-04	1541	57	65	0
2012-05	1706	74	79	0
2012-06	1673	68	90	0
2012-07	1587	61	70	0
2012-08	1693	65	96	0
2012-09	1812	72	98	0
2012-10	1981	83	96	0
2012-11	1802	89	86	0
2012-12	1544	76	86	0
2013-01	1952	106	79	0
2013-02	2221	103	96	0
2013-03	2399	98	124	0
2013-04	2517	104	121	0
