date_month	online_count	inperson_count
2002-09	0	1
2002-10	0	1
2002-11	0	4
2002-12	0	4
2003-01	0	5
2003-02	0	8
2003-03	0	9
2003-04	0	7
2003-05	0	8
2003-06	0	10
2003-07	0	6
2003-08	0	12
2003-09	0	7
2003-10	0	9
2003-11	0	7
2003-12	0	6
2004-01	0	7
2004-02	0	10
2004-03	0	11
2004-04	0	11
2004-05	0	13
2004-06	0	9
2004-07	0	9
2004-08	0	9
2004-09	0	26
2004-10	0	42
2004-11	0	42
2004-12	0	41
2005-01	0	43
2005-02	0	41
2005-03	0	44
2005-04	0	46
2005-05	0	44
2005-06	0	36
2005-07	0	39
2005-08	0	35
2005-09	0	40
2005-10	0	45
2005-11	0	46
2005-12	0	46
2006-01	0	48
2006-02	0	50
2006-03	0	55
2006-04	0	64
2006-05	0	61
2006-06	0	66
2006-07	0	70
2006-08	0	77
2006-09	0	77
2006-10	0	85
2006-11	0	83
2006-12	0	79
2007-01	0	92
2007-02	0	103
2007-03	0	104
2007-04	0	120
2007-05	0	131
2007-06	0	128
2007-07	0	128
2007-08	0	151
2007-09	0	139
2007-10	0	155
2007-11	0	156
2007-12	0	139
2008-01	0	151
2008-02	0	159
2008-03	0	174
2008-04	0	198
2008-05	0	208
2008-06	0	211
2008-07	0	215
2008-08	0	214
2008-09	0	233
2008-10	0	261
2008-11	0	229
2008-12	0	234
2009-01	0	294
2009-02	0	330
2009-03	0	343
2009-04	0	349
2009-05	0	372
2009-06	0	393
2009-07	0	383
2009-08	0	359
2009-09	0	437
2009-10	0	465
2009-11	0	417
2009-12	0	386
2010-01	0	457
2010-02	0	484
2010-03	0	560
2010-04	0	566
2010-05	0	583
2010-06	0	589
2010-07	0	640
2010-08	0	690
2010-09	0	788
2010-10	0	810
2010-11	0	787
2010-12	0	610
2011-01	0	827
2011-02	0	1001
2011-03	0	1060
2011-04	0	990
2011-05	0	1037
2011-06	0	1091
2011-07	0	971
2011-08	0	1007
2011-09	0	1179
2011-10	0	1266
2011-11	0	1240
2011-12	0	1066
2012-01	0	1306
2012-02	0	1534
2012-03	0	1608
2012-04	0	1663
2012-05	0	1859
2012-06	0	1831
2012-07	0	1718
2012-08	0	1854
2012-09	0	1982
2012-10	0	2160
2012-11	0	1977
2012-12	0	1706
2013-01	0	2137
2013-02	0	2420
2013-03	0	2621
2013-04	0	2742
2013-05	0	2810
2013-06	0	2941
2013-07	0	2776
2013-08	0	2825
2013-09	0	3029
2013-10	0	3538
2013-11	0	3177
2013-12	0	2659
2014-01	0	3271
2014-02	0	3603
2014-03	0	3962
2014-04	0	4160
2014-05	0	4223
2014-06	0	4239
2014-07	0	4089
2014-08	0	4228
2014-09	0	4518
2014-10	0	5119
2014-11	0	4692
2014-12	0	4016
2015-01	0	4753
2015-02	0	5187
2015-03	0	5988
2015-04	0	5862
2015-05	0	5778
2015-06	0	5925
2015-07	0	5758
2015-08	0	5751
2015-09	0	6153
2015-10	0	6495
2015-11	0	5779
2015-12	0	4998
2016-01	0	5966
2016-02	0	6514
2016-03	0	7365
2016-04	0	7415
2016-05	0	7331
2016-06	0	7289
2016-07	0	6833
2016-08	0	7297
2016-09	0	7675
2016-10	0	7799
2016-11	0	7047
2016-12	0	5895
2017-01	0	6995
2017-02	0	7560
2017-03	0	8346
2017-04	0	8091
2017-05	0	8154
2017-06	0	8245
2017-07	0	7533
2017-08	0	8194
2017-09	0	8015
2017-10	0	8455
2017-11	0	7863
2017-12	0	6208
2018-01	0	7350
2018-02	0	7861
2018-03	0	8561
2018-04	0	8478
2018-05	0	8857
2018-06	0	8407
2018-07	0	7860
2018-08	0	8396
2018-09	0	8484
2018-10	0	9255
2018-11	0	7984
2018-12	0	6829
2019-01	0	8197
2019-02	0	8393
2019-03	0	8863
2019-04	0	9005
2019-05	0	8947
2019-06	0	8908
2019-07	0	8379
2019-08	0	8832
2019-09	0	8698
2019-10	0	9476
2019-11	0	8233
2019-12	0	6822
2020-01	0	7905
2020-02	0	8428
2020-03	512	5878
2020-04	5151	3324
2020-05	6182	2783
2020-06	6680	2555
2020-07	7062	2268
2020-08	6822	2087
2020-09	7107	1999
2020-10	7210	2019
2020-11	6199	1784
2020-12	5996	1715
2021-01	6553	1646
