date_month	34_count	2_count	6_count	4_count	13_count	15_count
2002-07	1	0	0	0	0	0
2002-08	15	0	0	0	0	0
2002-09	13	0	0	0	0	0
2002-10	18	0	0	0	0	0
2002-11	27	0	0	0	0	0
2002-12	27	0	0	0	0	0
2003-01	28	0	0	0	0	0
2003-02	34	0	0	0	0	0
2003-03	36	0	0	0	0	0
2003-04	36	0	0	0	0	0
2003-05	37	0	0	0	0	0
2003-06	37	0	0	0	0	0
2003-07	37	0	0	0	0	0
2003-08	39	0	0	0	0	0
2003-09	39	0	0	0	0	0
2003-10	39	0	0	0	0	0
2003-11	40	0	0	0	0	0
2003-12	40	0	0	0	0	0
2004-01	41	0	0	0	0	0
2004-02	41	0	0	0	0	0
2004-03	42	0	0	0	0	0
2004-04	42	0	0	0	0	0
2004-05	42	0	0	0	0	0
2004-06	42	0	0	0	0	0
2004-07	42	0	0	0	0	0
2004-08	42	0	0	0	0	0
2004-09	47	0	0	0	0	0
2004-10	49	0	0	0	0	0
2004-11	48	0	0	0	0	0
2004-12	50	0	0	0	0	0
2005-01	54	0	0	0	0	0
2005-02	49	0	0	0	0	0
2005-03	51	0	0	0	0	0
2005-04	55	0	0	0	0	0
2005-05	58	0	0	0	0	0
2005-06	51	0	0	0	0	0
2005-07	47	0	0	0	0	0
2005-08	44	0	0	0	0	0
2005-09	48	0	0	0	0	0
2005-10	54	0	0	0	0	0
2005-11	52	0	0	0	0	0
2005-12	53	0	0	0	0	0
2006-01	56	0	0	0	0	0
2006-02	60	0	0	0	0	0
2006-03	63	0	0	0	0	0
2006-04	71	0	0	0	0	0
2006-05	72	0	0	0	0	0
2006-06	75	0	0	0	0	0
2006-07	82	0	0	0	0	0
2006-08	88	0	0	0	0	0
2006-09	86	0	0	0	0	0
2006-10	92	0	0	0	0	0
2006-11	97	0	0	0	0	0
2006-12	89	0	0	0	0	0
2007-01	98	0	0	0	0	0
2007-02	110	0	0	0	0	0
2007-03	113	0	0	0	0	0
2007-04	139	0	0	0	0	0
2007-05	150	0	0	0	0	0
2007-06	143	0	0	0	0	0
2007-07	142	0	0	0	0	0
2007-08	163	0	0	0	0	0
2007-09	156	0	0	0	0	0
2007-10	167	0	0	0	0	0
2007-11	169	0	0	0	0	0
2007-12	158	0	0	0	0	0
2008-01	165	0	0	0	0	0
2008-02	175	0	0	0	0	0
2008-03	188	0	0	0	0	0
2008-04	216	0	0	0	0	0
2008-05	229	0	0	0	0	0
2008-06	230	0	0	0	0	0
2008-07	237	0	0	0	0	0
2008-08	234	0	0	0	0	0
2008-09	256	0	0	0	0	0
2008-10	284	0	0	0	0	0
2008-11	246	0	0	0	0	0
2008-12	249	0	0	0	0	0
2009-01	321	0	0	0	0	0
2009-02	350	0	0	0	0	0
2009-03	370	0	0	0	0	0
2009-04	396	0	0	0	0	0
2009-05	435	0	0	0	0	0
2009-06	499	0	0	0	0	0
2009-07	484	0	0	0	0	0
2009-08	451	0	0	0	0	0
2009-09	521	0	0	0	0	0
2009-10	534	0	0	0	0	0
2009-11	491	0	0	0	0	0
2009-12	444	0	0	0	0	0
2010-01	511	1	0	0	0	0
2010-02	546	1	0	0	0	0
2010-03	620	1	0	0	0	0
2010-04	644	0	0	0	0	0
2010-05	674	2	0	0	0	0
2010-06	684	1	0	0	0	0
2010-07	740	0	0	0	0	0
2010-08	781	3	0	0	0	0
2010-09	908	3	0	0	0	0
2010-10	918	5	0	0	0	0
2010-11	898	4	0	0	0	0
2010-12	711	2	0	0	0	0
2011-01	956	2	0	0	0	0
2011-02	1132	2	0	0	0	0
2011-03	1209	0	0	0	0	0
2011-04	1120	5	0	0	0	0
2011-05	1196	4	0	0	0	0
2011-06	1219	5	0	0	0	0
2011-07	1094	2	0	0	0	0
2011-08	1125	4	0	0	0	0
2011-09	1336	3	0	0	0	0
2011-10	1425	5	0	0	0	0
2011-11	1414	1	0	0	0	0
2011-12	1274	4	0	0	0	0
2012-01	1479	3	0	0	0	0
2012-02	1746	3	0	0	0	0
2012-03	1819	8	0	0	0	0
2012-04	1883	10	0	0	0	0
2012-05	2104	7	0	0	0	0
2012-06	2100	9	0	0	0	0
2012-07	2006	8	0	0	0	0
2012-08	2107	9	0	0	0	0
2012-09	2243	7	0	0	0	0
2012-10	2436	10	0	0	0	0
2012-11	2258	7	0	0	0	0
2012-12	2008	9	0	1	1	0
2013-01	2384	10	0	3	3	0
2013-02	2648	16	0	2	2	0
2013-03	2887	10	0	4	4	0
2013-04	3029	16	0	3	3	0
2013-05	3147	9	2	2	2	0
2013-06	3257	13	2	5	5	0
2013-07	3094	10	1	4	4	0
2013-08	3119	10	1	2	2	0
2013-09	3372	10	1	2	2	0
2013-10	3910	9	3	2	2	0
2013-11	3576	9	1	2	2	0
2013-12	3114	7	2	2	2	0
2014-01	3599	6	1	2	2	0
2014-02	3932	10	2	7	7	0
2014-03	4321	8	4	8	8	0
2014-04	4556	10	1	8	8	0
2014-05	4651	7	4	9	9	0
2014-06	4625	9	2	8	8	0
2014-07	4520	4	4	6	6	0
2014-08	4710	8	2	4	4	0
2014-09	5052	11	8	5	5	0
2014-10	5715	41	3	4	4	0
2014-11	5357	31	3	4	4	0
2014-12	4663	10	5	7	7	0
2015-01	5274	12	5	8	8	0
2015-02	5710	29	2	12	12	0
2015-03	6539	21	4	11	11	0
2015-04	6440	15	11	5	5	0
2015-05	6470	19	8	5	5	0
2015-06	6496	18	11	7	7	0
2015-07	6302	14	8	7	7	0
2015-08	6291	14	6	6	6	0
2015-09	6744	18	13	5	5	4
2015-10	7117	15	6	5	5	5
2015-11	6453	18	15	5	5	7
2015-12	5783	8	6	5	5	5
2016-01	6535	24	13	4	4	4
2016-02	7130	24	21	5	5	8
2016-03	8012	27	15	5	5	6
2016-04	8020	25	13	5	5	11
2016-05	7932	30	14	6	6	9
2016-06	7900	23	6	5	5	12
2016-07	7437	26	8	4	4	12
2016-08	7922	32	10	5	5	13
2016-09	8336	37	14	4	4	5
2016-10	8516	32	17	5	5	7
2016-11	7769	34	12	4	4	3
2016-12	6775	25	10	5	5	5
2017-01	7646	30	12	8	8	5
2017-02	8208	37	13	6	6	10
2017-03	9013	38	8	7	7	14
2017-04	8751	28	13	5	5	12
2017-05	8778	34	14	6	6	10
2017-06	8897	43	15	5	5	12
2017-07	8216	34	16	6	6	5
2017-08	8839	36	21	4	4	3
2017-09	8680	40	18	8	8	7
2017-10	9099	51	20	7	7	11
2017-11	8547	36	17	6	6	4
2017-12	7009	38	20	3	3	7
2018-01	8085	27	15	6	6	7
2018-02	8526	25	16	5	5	9
2018-03	9327	43	20	3	3	13
2018-04	9209	33	16	4	4	10
2018-05	9726	24	8	6	6	9
2018-06	9243	27	15	7	7	11
2018-07	8793	31	9	8	8	12
2018-08	9092	28	13	9	9	9
2018-09	9231	29	16	10	10	9
2018-10	10021	26	13	13	13	5
2018-11	8934	22	23	12	12	3
2018-12	7914	24	19	7	7	6
2019-01	9084	27	15	7	7	4
2019-02	9231	29	16	7	7	5
2019-03	9569	43	15	7	7	4
2019-04	9788	30	15	8	8	4
2019-05	9750	35	11	7	7	8
2019-06	9637	31	13	9	9	7
2019-07	9182	27	15	7	7	3
2019-08	9620	31	14	7	7	3
2019-09	9442	39	14	7	7	9
2019-10	10267	38	8	4	4	5
2019-11	9147	31	12	4	4	2
2019-12	7998	21	14	4	4	2
2020-01	8713	26	9	5	5	5
2020-02	9185	27	13	4	4	2
2020-03	9061	25	13	4	4	1
2020-04	10511	26	6	4	4	0
2020-05	10288	23	10	2	2	1
2020-06	10339	20	8	4	4	6
2020-07	10265	23	10	3	3	6
2020-08	9730	23	10	3	3	7
2020-09	9943	31	5	2	2	4
2020-10	9967	35	12	1	1	1
2020-11	8738	27	6	2	2	2
2020-12	8553	27	7	3	3	1
2021-01	8852	23	7	4	4	3
