FORTRAN	0	0	0	0	0	0	0	2	1	6	34	17	15	21	27	20	22	6
COBOL	0	0	0	0	1	0	0	2	0	2	28	8	6	8	19	17	20	15
Pascal	0	0	0	0	0	0	0	5	7	21	9	18	17	21	25	48	104	16
SQL	0	7	34	70	108	110	181	304	337	544	848	1215	1842	2206	2209	2204	3052	4166
Ada	0	0	0	13	14	18	22	29	57	119	209	256	374	448	581	724	799	1730
MATLAB	0	0	0	0	0	0	2	3	1	12	10	35	49	22	57	81	94	1188
LabVIEW	0	0	0	0	0	0	0	0	0	3	3	2	4	4	2	3	7	6
Perl	0	0	1	2	20	23	23	39	35	58	96	109	142	106	92	111	96	100
Wolfram	0	0	0	0	0	0	6	2	3	1	2	13	8	8	11	7	10	5
Python	0	6	26	61	128	138	200	299	446	851	1495	2098	3209	4034	5229	6498	9742	9566
Visual Basic	0	0	0	0	0	0	2	6	8	14	14	17	27	20	45	53	34	144
Delphi	0	0	0	0	1	0	2	3	6	2	11	9	9	8	15	3	5	9
Java	0	3	9	27	65	90	191	257	345	484	785	1010	1373	1548	1355	1445	1689	1883
JavaScript	0	0	0	7	18	32	120	255	413	956	1487	2157	3526	4548	5323	5549	5272	5656
PHP	0	10	55	131	222	284	502	542	701	1090	1240	1648	2060	2028	1961	1583	1363	1287
Ruby	0	3	12	44	99	179	302	523	807	1229	1524	1922	2509	2437	1683	1278	1195	840
Scala	0	0	0	0	0	4	40	53	80	148	190	252	410	791	412	282	408	462
PowerShell	0	0	0	0	0	0	2	0	4	23	45	69	121	154	214	217	230	233
Clojure	0	0	0	0	0	4	14	22	49	108	143	162	197	203	158	166	95	87
iOS	0	0	1	5	14	36	60	194	521	957	1561	2221	2747	3358	3420	2954	2901	4187
Android	0	0	0	0	0	7	64	257	514	779	1215	1589	1718	1693	1368	1317	945	1352
Rust	0	0	0	4	2	11	24	40	69	120	211	316	490	608	762	871	1148	1518
Dart	0	0	0	0	0	1	3	9	20	31	24	68	76	64	65	66	59	49
Kotlin	0	0	0	0	0	0	0	0	0	0	0	3	11	27	132	185	185	150
TypeScript	0	0	0	0	0	0	0	0	0	4	18	22	91	172	228	186	237	247
