Technology	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020		Year
FORTRAN	0	0	0	0	0	0	0	2	1	6	34	17	15	21	27	20	22	6		1957
COBOL	0	0	0	0	1	0	0	2	0	2	28	8	6	8	19	17	20	15		1959
Pascal	0	0	0	0	0	0	0	5	7	21	9	18	17	21	25	48	104	16		1970
SQL	0	7	34	70	108	110	181	304	337	544	848	1215	1842	2206	2209	2204	3052	4166		1978
Ada	0	0	0	13	14	18	22	29	57	119	209	256	374	448	581	724	799	1730		1983
MATLAB	0	0	0	0	0	0	2	3	1	12	10	35	49	22	57	81	94	1188		1984
LabVIEW	0	0	0	0	0	0	0	0	0	3	3	2	4	4	2	3	7	6		1986
Perl	0	0	1	2	20	23	23	39	35	58	96	109	142	106	92	111	96	100		1987
Wolfram	0	0	0	0	0	0	6	2	3	1	2	13	8	8	11	7	10	5		1988
																				
Technology	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020		
Python	0	6	26	61	128	138	200	299	446	851	1495	2098	3209	4034	5229	6498	9742	9566		1990
Visual Basic	0	0	0	0	0	0	2	6	8	14	14	17	27	20	45	53	34	144		1991
Delphi	0	0	0	0	1	0	2	3	6	2	11	9	9	8	15	3	5	9		1995
Java	0	3	9	27	65	90	191	257	345	484	785	1010	1373	1548	1355	1445	1689	1883		1995
JavaScript	0	0	0	7	18	32	120	255	413	956	1487	2157	3526	4548	5323	5549	5272	5656		1995
PHP	0	10	55	131	222	284	502	542	701	1090	1240	1648	2060	2028	1961	1583	1363	1287		1995
Ruby	0	3	12	44	99	179	302	523	807	1229	1524	1922	2509	2437	1683	1278	1195	840		1995
																				
Technology	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020		
Scala	0	0	0	0	0	4	40	53	80	148	190	252	410	791	412	282	408	462		2003
PowerShell	0	0	0	0	0	0	2	0	4	23	45	69	121	154	214	217	230	233		2006
Clojure	0	0	0	0	0	4	14	22	49	108	143	162	197	203	158	166	95	87		2007
iOS	0	0	1	5	14	36	60	194	521	957	1561	2221	2747	3358	3420	2954	2901	4187		2007
Android	0	0	0	0	0	7	64	257	514	779	1215	1589	1718	1693	1368	1317	945	1352		2008
Rust	0	0	0	4	2	11	24	40	69	120	211	316	490	608	762	871	1148	1518		2010
Dart	0	0	0	0	0	1	3	9	20	31	24	68	76	64	65	66	59	49		2011
Kotlin	0	0	0	0	0	0	0	0	0	0	0	3	11	27	132	185	185	150		2011
TypeScript	0	0	0	0	0	0	0	0	0	4	18	22	91	172	228	186	237	247		2012
																				
Technology	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020		
Pre-90’s	0	7	35	85	143	151	234	386	441	766	1239	1673	2457	2844	3023	3215	4204	7232		
90’s	0	22	102	270	533	723	1319	1885	2726	4626	6556	8861	12713	14623	15611	16409	19300	19385		
Post-90’s	0	0	1	9	16	63	207	575	1257	2170	3407	4702	5861	7070	6759	6244	6208	8285		
																				
Technology	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020		
Pre-90’s	---	---	400.00%	142.86%	68.24%	5.59%	54.97%	64.96%	14.25%	73.70%	61.75%	35.03%	46.86%	15.75%	6.29%	6.35%	30.76%	72.03%		
90’s	---	---	363.64%	164.71%	97.41%	35.65%	82.43%	42.91%	44.62%	69.70%	41.72%	35.16%	43.47%	15.02%	6.76%	5.11%	17.62%	0.44%		
Post-90’s	---	---	---	800.00%	77.78%	293.75%	228.57%	177.78%	118.61%	72.63%	57.00%	38.01%	24.65%	20.63%	-4.40%	-7.62%	-0.58%	33.46%		
